iter	Passed	Remaining
455	852	17853
456	854	17848
457	856	17837
458	857	17829
459	859	17823
460	861	17816
461	863	17818
462	864	17813
463	866	17811
464	868	17810
465	870	17802
466	871	17797
467	873	17792
468	875	17784
469	876	17781
470	878	17774
471	880	17769
472	881	17763
473	883	17756
474	885	17752
475	886	17746
476	888	17738
477	890	17730
478	891	17722
479	893	17711
480	894	17701
481	896	17696
482	897	17692
483	899	17688
484	901	17681
485	902	17674
486	904	17669
487	906	17667
488	907	17659
489	909	17653
490	911	17648
491	913	17652
492	915	17650
493	916	17644
494	918	17635
495	919	17623
496	921	17616
497	923	17618
498	925	17612
499	926	17610
500	928	17606
501	930	17606
502	932	17605
503	933	17595
504	935	17596
505	937	17593
506	939	17583
507	940	17579
508	942	17578
509	944	17577
510	946	17570
511	947	17560
512	949	17557
513	950	17547
514	952	17540
515	953	17534
516	955	17533
517	957	17536
518	959	17533
519	961	17534
520	963	17525
521	965	17525
522	967	17527
523	969	17525
524	970	17519
525	972	17515
526	974	17519
527	976	17525
528	979	17528
529	980	17527
530	982	17521
531	984	17523
532	986	17518
533	988	17514
534	989	17512
535	991	17513
536	993	17512
537	995	17511
538	997	17508
539	999	17504
540	1001	17502
541	1002	17496
542	1004	17490
543	1005	17482
544	1007	17476
545	1009	17478
546	1011	17474
547	1012	17470
548	1014	17467
549	1016	17467
550	1018	17460
551	1019	17454
552	1021	17449
553	1022	17442
554	1024	17437
555	1026	17432
556	1027	17424
557	1029	17418
558	1031	17419
559	1033	17415
560	1034	17408
561	1036	17403
562	1038	17403
563	1039	17397
564	1041	17395
565	1043	17391
566	1045	17385
567	1046	17379
568	1048	17373
569	1050	17371
570	1051	17367
571	1053	17364
572	1055	17357
573	1056	17352
574	1058	17345
575	1060	17346
576	1062	17345
577	1063	17340
578	1065	17335
579	1067	17332
580	1068	17329
581	1070	17327
582	1072	17323
583	1074	17331
584	1076	17327
585	1078	17319
586	1079	17315
587	1081	17313
588	1083	17311
589	1085	17315
590	1087	17311
591	1089	17307
592	1090	17300
593	1092	17295
594	1093	17291
595	1095	17287
596	1097	17286
597	1099	17282
598	1100	17279
599	1102	17272
600	1104	17266
601	1105	17259
602	1107	17258
603	1108	17249
604	1110	17241
605	1112	17240
606	1114	17239
607	1115	17236
608	1117	17228
609	1119	17225
610	1120	17222
611	1122	17222
612	1124	17214
613	1125	17212
614	1127	17206
615	1129	17200
616	1130	17195
617	1132	17190
618	1134	17186
619	1135	17182
620	1137	17180
621	1139	17176
622	1141	17173
623	1142	17169
624	1144	17167
625	1146	17165
626	1147	17161
627	1149	17154
628	1151	17153
629	1153	17151
630	1154	17143
631	1156	17140
632	1158	17136
633	1159	17130
634	1161	17123
635	1162	17121
636	1164	17117
637	1166	17117
638	1168	17112
639	1169	17109
640	1171	17105
641	1173	17099
642	1174	17097
643	1176	17093
644	1178	17087
645	1182	17127
646	1184	17124
647	1186	17127
648	1188	17127
649	1190	17127
650	1192	17129
651	1194	17130
652	1196	17132
653	1198	17132
654	1220	17412
655	1221	17404
656	1223	17396
657	1224	17388
658	1235	17515
659	1237	17515
660	1239	17516
661	1241	17517
662	1243	17518
663	1245	17517
664	1247	17514
665	1249	17516
666	1252	17518
667	1254	17520
668	1258	17552
669	1260	17555
670	1262	17557
671	1264	17559
672	1267	17562
673	1269	17566
674	1271	17567
675	1273	17569
676	1275	17570
677	1277	17568
678	1289	17697
679	1300	17825
680	1302	17820
681	1304	17823
682	1306	17825
683	1308	17824
684	1310	17817
685	1312	17814
686	1313	17810
687	1316	17814
688	1318	17814
689	1323	17851
690	1325	17852
691	1327	17854
692	1330	17863
693	1332	17862
694	1333	17855
695	1335	17849
696	1337	17845
697	1338	17840
698	1340	17838
699	1342	17835
700	1344	17830
701	1345	17824
702	1347	17816
703	1348	17811
704	1350	17808
705	1352	17805
706	1354	17799
707	1355	17792
708	1357	17784
709	1358	17778
710	1360	17772
711	1362	17769
712	1363	17762
713	1365	17760
714	1367	17756
715	1368	17747
716	1370	17740
717	1371	17733
718	1373	17727
719	1374	17722
720	1376	17716
721	1378	17715
722	1380	17714
723	1382	17711
724	1383	17703
725	1385	17699
726	1387	17692
727	1388	17690
728	1390	17684
729	1392	17679
730	1394	17675
731	1395	17672
732	1397	17662
733	1398	17659
734	1400	17655
735	1402	17653
736	1404	17649
737	1406	17648
738	1408	17647
739	1409	17643
740	1411	17641
741	1413	17639
742	1415	17637
743	1417	17632
744	1419	17627
745	1420	17621
746	1422	17616
747	1423	17611
748	1425	17606
749	1427	17606
